contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor,distance,weights,subclass
2735180_2014_11_lakeville_MN_Mayor_mayor_1,15251,2014,lakeville city,Mayor,Minnesota,0,0.448431997316787,0.43567758509955,0.495098398728762,11,0,100,40011,49.2,50.8,91.7,2.7,3.6,5.6,38.11701782009948,10.596909695290504,midterm,1,0.459735993715033,1,0,1,1,1,1,0.636630861446982,1,29
3451000_2014_5_newark_NJ_City Council_synthetic at-large c_4,99083,2014,newark city,City Council,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,5,1,6.081616481774961,207050,49.9,50.1,28.4,53.9,34.8,2.2,47.85462448683893,12.240715588973714,none,0,0.9182101997304514,0,0,0,0,1,1,0.6657279353428637,1,30
3451000_2014_5_newark_NJ_Mayor_mayor_1,44951,2014,newark city,Mayor,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,5,0,8.375786968031857,207050,49.9,50.1,28.4,53.9,34.8,2.2,21.710214923931417,12.240715588973714,none,0,0.9182101997304514,1,0,0,1,1,1,0.4345670335556197,1,31
3825700_2014_6_fargo_ND_Mayor_mayor_1,13751,2014,fargo city,Mayor,North Dakota,1,0.552027406042151,0.490412731892047,0.542139277235558,6,1,12.44273143771362,88969,49.7,50.3,91.5,3.9,2.8,3.5,15.455945329271994,11.396043273431912,none,0,0.5281931383899187,1,0,0,1,NA,1,0.6619699616348893,1,85
4419180_2014_11_cranston_RI_City Council_synthetic at-large c_3,62153,2014,cranston city,City Council,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,1,4.1638283378746594,65038,49.6,50.4,84.8,6.2,11.5,6.1,95.56413173836836,11.082726993441389,midterm,1,0.5746240467689313,0,0,1,0,1,1,0.8856579840360419,1,32
4459000_2014_11_providence_RI_Mayor_mayor_1,38335,2014,providence city,Mayor,Rhode Island,0,0.834484019935074,0.854650722773027,0.819127778961574,11,1,7.288457932660113,138038,48.3,51.7,53.6,18.6,40.4,7,27.771338327127314,11.835284288552938,midterm,1,0.8360875072232249,1,0,1,1,NA,1,0.7675908620484846,1,33
4845000_2014_5_lubbock_TX_Mayor_mayor_1,1,2014,lubbock city,Mayor,Texas,1,0.333504085559359,0.329988999483108,0.376480010389835,5,1,100,181351,48.9,51.1,80.3,9.1,33.2,3.1,5.514168656362523e-4,12.108189658894908,none,0,0.34665769847743394,1,0,0,1,NA,1,0.5571297094460508,1,94
4848072_2014_5_midland_TX_City Council_synthetic at-large c_1,2265,2014,midland city,City Council,Texas,1,0.230103009725499,0.231023102310231,0.236808051761323,5,0,32.803532008830025,86791,49,51,82.5,8.8,40.4,1.8,2.60971759744674,11.371258208636666,none,0,0.2326447212656843,0,0,0,0,0,1,0.762499456811248,1,69
5157000_2014_5_norfolk_VA_Mayor_mayor_1,15676,2014,norfolk city,Mayor,Virginia,1,0.712487081894487,0.725714285714286,0.733247613304052,5,1,62.98978778880278,194494,52.1,47.9,50.7,44.7,7.1,4.5,8.059888736927617,12.17815659323577,none,0,0.7238163269709417,1,0,0,1,NA,1,0.527575860655033,1,60
541000_2014_11_little rock_AR_Mayor_mayor_1,52046,2014,little rock city,Mayor,Arkansas,1,0.43649422168759,0.693844715201188,0.708625316833159,11,1,100,149002,47.4,52.6,53.4,43,5.8,3.6,34.929732486812256,11.911715007656303,midterm,1,0.612988084573979,1,0,1,1,1,1,0.37276647019039966,1,92
